City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,-33.0153,27.9116,59.27,79,58,3.89
1,Rikitea,PF,-23.1203,-134.9692,76.05,76,51,16.73
2,Lorengau,PG,-2.0226,147.2712,86.04,63,98,13.53
3,Acarau,BR,-2.8856,-40.12,75.96,86,7,8.28
4,Caravelas,BR,-17.7125,-39.2481,69.01,79,58,6.08
5,Sulina,RO,45.1559,29.6536,57.52,66,100,11.83
6,Ushuaia,AR,-54.8,-68.3,33.46,80,0,4.61
7,Port Elizabeth,ZA,-33.918,25.5701,50.29,100,0,0.0
8,Geraldton,AU,-28.7667,114.6,70.21,64,40,28.77
9,San Patricio,US,28.017,-97.5169,79.84,81,33,7.7
10,Mar Del Plata,AR,-38.0023,-57.5575,54.95,80,0,4.61
11,Carnarvon,AU,-24.8667,113.6333,72.68,54,11,16.31
12,New Norfolk,AU,-42.7826,147.0587,59.92,58,8,1.99
13,La Ronge,CA,55.1001,-105.2842,62.85,17,75,6.91
14,Hithadhoo,MV,-0.6,73.0833,83.34,73,100,11.81
15,Koslan,RU,63.4564,48.8989,29.55,93,100,10.6
16,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,73,9,14.34
17,Atuona,PF,-9.8,-139.0333,79.11,73,28,18.48
18,Redmond,US,47.674,-122.1215,67.89,56,100,5.57
19,Lejanias,CO,3.5251,-74.0216,67.98,91,84,4.63
20,Saldanha,ZA,-33.0117,17.9442,48.25,90,100,3.24
21,Vaini,TO,-21.2,-175.2,82.56,83,40,8.05
22,Jamestown,US,42.097,-79.2353,49.64,94,40,5.75
23,Nuuk,GL,64.1835,-51.7216,32.61,100,100,36.82
24,Faanui,PF,-16.4833,-151.75,81.39,68,10,14.2
25,Fortuna,US,40.5982,-124.1573,53.92,91,100,10.36
